Date,Open,High,Low,Close,Volume
2017-06-28,80488.30089569092,80715.52690505981,80456.06689453125,80526.95434570312,370.0
2017-06-29,80528.2476066649,80957.81203787215,79739.8274162598,80265.70513857901,540.0
2017-06-30,80408.93279129639,80641.50027941912,80010.54740120843,80378.87393551134,43.0
2017-07-01,80408.93279129639,80641.50027941912,80010.54740120843,80378.87393551134,0.0
2017-07-02,80408.93279129639,80641.50027941912,80010.54740120843,80378.87393551134,0.0
2017-07-03,79858.57369995117,80204.03924560547,78682.43516568001,78684.6187480297,33.0
2017-07-04,79858.57369995117,80204.03924560547,78682.43516568001,78684.6187480297,0.0
2017-07-05,79194.16408538818,79502.50186920166,78707.42032976076,79043.96471298579,40.0
2017-07-06,79374.83607994393,79386.48215667717,79051.8932147827,79188.04236553237,5.0
2017-07-07,78894.66432121582,79033.1081881104,77954.69842529297,78212.49595731683,116.0
2017-07-08,78894.66432121582,79033.1081881104,77954.69842529297,78212.49595731683,0.0
2017-07-09,78894.66432121582,79033.1081881104,77954.69842529297,78212.49595731683,0.0
2017-07-10,78275.21997810062,78320.4476740295,77910.33885717764,78315.84237474483,28.0
2017-07-11,78275.21997810062,78320.4476740295,77910.33885717764,78315.84237474483,0.0
2017-07-12,78647.96419185773,78736.65920428466,78371.86471267696,78598.62766584847,7.0
2017-07-13,78741.21960676275,78761.00287284423,78256.74068737775,78287.15004452504,7.0
2017-07-14,78300.91461671144,79143.06062698364,78023.57124829106,79024.68042478524,23.0
2017-07-15,78300.91461671144,79143.06062698364,78023.57124829106,79024.68042478524,0.0
2017-07-16,78300.91461671144,79143.06062698364,78023.57124829106,79024.68042478524,0.0
2017-07-17,79225.24042305909,79450.69642434083,79027.22269070428,79228.73485191911,7.0
2017-07-18,79524.49990455061,79887.35116940923,79435.11798516847,79839.96370196529,29.0
2017-07-19,79768.88282309566,79858.80031298846,79683.99240097404,79816.97307159193,3.0
2017-07-20,79464.53031590581,80224.8711156249,79463.91707281489,79994.95653141104,5.0
2017-07-21,80501.92946289666,80827.09820874035,80394.64614486694,80682.84681304917,16.0
2017-07-22,80501.92946289666,80827.09820874035,80394.64614486694,80682.84681304917,0.0
2017-07-23,80501.92946289666,80827.09820874035,80394.64614486694,80682.84681304917,0.0
2017-07-24,80858.76593017578,80986.8842163086,80629.53503013309,80827.77200146113,8.0
2017-07-25,80630.4119748082,80781.98548730463,80371.0232562013,80565.78882952407,18.0
2017-07-26,80137.73549208976,80498.04618835449,80053.0881010741,80494.30124664307,7.0
2017-07-27,81048.45263746101,81048.58717725333,80677.38228027336,81048.58717725333,220309.0
2017-07-28,80686.08800336905,81597.5,80542.1558659058,81412.25247033685,64180.0
2017-07-29,80686.08800336905,81597.5,80542.1558659058,81412.25247033685,0.0
2017-07-30,80686.08800336905,81597.5,80542.1558659058,81412.25247033685,0.0
2017-07-31,81343.46958570555,81601.88027773425,81074.4969903566,81218.81974643562,7780.0
2017-08-01,81418.60066381842,81733.13324292004,80813.05079650879,81687.55473475344,1061.0
2017-08-02,81292.46007919312,81579.76794039924,80333.07132379152,81466.17133756354,393.0
2017-08-03,80562.25827407045,80924.35653054807,79873.26390303345,80683.55362853874,878.0
2017-08-04,80829.58876419067,80936.99844360352,79714.1885863007,80149.93644379266,521.0
2017-08-05,80829.58876419067,80936.99844360352,79714.1885863007,80149.93644379266,0.0
2017-08-06,80829.58876419067,80936.99844360352,79714.1885863007,80149.93644379266,0.0
2017-08-07,80135.76254799496,80418.71409580996,79912.40091685485,80103.42583422363,260.0
2017-08-08,80228.5589645966,80725.42521246336,79605.30845460203,80196.14047131594,555.0
2017-08-09,80252.68204446416,81664.20092562865,80252.68204446416,81093.79161453247,574.0
2017-08-10,81511.54444258427,82612.45720935054,81389.61775312806,82012.63625006657,608.0
2017-08-11,82436.39423189685,82959.62538516242,82086.4584350586,82591.27622232772,139.0
2017-08-12,82436.39423189685,82959.62538516242,82086.4584350586,82591.27622232772,0.0
2017-08-13,82436.39423189685,82959.62538516242,82086.4584350586,82591.27622232772,0.0
2017-08-14,82625.7387879761,82650.86353210453,81766.4733659057,82292.81871705316,338.0
2017-08-15,82057.00193786621,82265.72601699829,80923.48962493893,81738.8042380102,188.0
2017-08-16,81690.56249960326,82535.30647186283,81419.31679113768,82057.42689240724,110.0
2017-08-17,82372.46511873789,82713.9693145752,82111.9670292968,82536.06821680907,43.0
2017-08-18,82677.21818303224,83530.95245202631,82295.3822914064,82527.67049248517,358.0
2017-08-19,82677.21818303224,83530.95245202631,82295.3822914064,82527.67049248517,0.0
2017-08-20,82677.21818303224,83530.95245202631,82295.3822914064,82527.67049248517,0.0
2017-08-21,82362.68484384753,82802.24491994642,82227.21684622206,82709.17125614733,18.0
2017-08-22,82513.3743846193,82663.75028466806,82199.22074912116,82448.80325238034,100.0
2017-08-23,82602.18906402588,82699.539395459,82387.33524295036,82563.71685397346,250.0
2017-08-24,82522.54517267458,82579.89523077384,82176.0,82342.42896652222,550.0
2017-08-25,82311.23271418456,82836.21523809806,81772.76275114436,82765.24223327637,280.0
2017-08-26,82311.23271418456,82836.21523809806,81772.76275114436,82765.24223327637,0.0
2017-08-27,82311.23271418456,82836.21523809806,81772.76275114436,82765.24223327637,0.0
2017-08-28,82781.41442108154,83920.5819655396,82486.49559211731,83814.90146658942,145.0
2017-08-29,84268.68395040277,84760.2693647705,83764.35674070613,83761.7269742908,1178.0
2017-08-30,83731.9930127319,84013.12780380249,83347.8806930054,83701.13301881589,1178.0
2017-08-31,83596.91878099367,84772.656937439,83163.00711606443,84205.47145273071,373.0
2017-09-01,84394.44060880132,85031.21397108771,84057.73096966557,84651.31097602844,313.0
2017-09-02,84394.44060880132,85031.21397108771,84057.73096966557,84651.31097602844,0.0
2017-09-03,84394.44060880132,85031.21397108771,84057.73096966557,84651.31097602844,0.0
2017-09-04,84394.44060880132,85031.21397108771,84057.73096966557,84651.31097602844,0.0
2017-09-05,85493.52357028797,85913.69430405274,85017.11466775509,85744.01585564949,39.0
2017-09-06,85894.40689086914,86141.07963888533,85363.02659619134,85502.9895295715,20.0
2017-09-07,85597.08837708738,86404.12310028076,85377.51917446777,86107.118017965,26.0
2017-09-08,86474.8123703003,86782.05391121842,85808.91105908202,86076.83452606201,37.0
2017-09-09,86474.8123703003,86782.05391121842,85808.91105908202,86076.83452606201,0.0
2017-09-10,86474.8123703003,86782.05391121842,85808.91105908202,86076.83452606201,0.0
2017-09-11,84888.51783752441,85197.31284332275,84648.56263931282,85092.16067504883,9.0
2017-09-12,84829.13712310791,85071.6767578125,84706.77845239267,84965.43939208984,15.0
2017-09-13,84726.05417838134,84889.49012347404,84525.55814578244,84681.18931015255,16.0
2017-09-14,84458.35506279301,85460.7013561707,84458.35506279301,84933.26592608169,316.0
2017-09-15,84666.96996490471,84768.19370556623,84519.99633526616,84710.26195446774,15.0
2017-09-16,84666.96996490471,84768.19370556623,84519.99633526616,84710.26195446774,0.0
2017-09-17,84666.96996490471,84768.19370556623,84519.99633526616,84710.26195446774,0.0
2017-09-18,83958.8406680543,84114.58076635748,83584.0,83760.22184195928,129.0
2017-09-19,83986.79527807608,84317.80614273064,83686.92716832273,83877.23642597906,20.0
2017-09-20,84349.1318359375,84545.283203125,83402.5124495849,84359.89233398438,12.0
2017-09-21,83510.69415277708,84844.74122778326,82945.00405513309,82964.54040597659,336.0
2017-09-22,83916.64615631104,84479.6328622438,83764.45464183949,83808.81710689329,209.0
2017-09-23,83916.64615631104,84479.6328622438,83764.45464183949,83808.81710689329,0.0
2017-09-24,83916.64615631104,84479.6328622438,83764.45464183949,83808.81710689329,0.0
2017-09-25,83777.36382277217,85464.57121435553,83566.43433380127,84799.5604530517,51.0
2017-09-26,85138.19170379639,85525.54410384037,84395.78960418701,84648.83284759521,39.0
2017-09-27,83999.17392457277,84422.05203930661,83850.93942010496,83870.18963714596,19488.0
2017-09-28,84075.12785812374,84866.31921386719,83490.25649261475,84232.38946151733,5226.0
2017-09-29,84067.57811154798,84423.46463104244,83605.05726242065,83758.84078216553,492.0
2017-09-30,84067.57811154798,84423.46463104244,83605.05726242065,83758.84078216553,0.0
2017-10-01,84067.57811154798,84423.46463104244,83605.05726242065,83758.84078216553,0.0
2017-10-02,83258.13617706299,83724.92017706297,82925.36353210453,83098.7756669838,136.0
2017-10-03,82915.21769379266,83630.34759561159,82843.38598656002,83374.41788482666,192.0
2017-10-04,83402.6976626832,83861.02617678232,82486.49612426758,83354.87324343994,218.0
2017-10-05,83083.19830880128,83338.12074438483,82355.97196118161,82568.2655674927,36.0
2017-10-06,82653.85872912593,83417.12182617188,82077.4548072815,82921.03324377444,46.0
2017-10-07,82653.85872912593,83417.12182617188,82077.4548072815,82921.03324377444,0.0
2017-10-08,82653.85872912593,83417.12182617188,82077.4548072815,82921.03324377444,0.0
2017-10-09,83739.07645530999,84037.79608154297,83484.17035675049,83847.92453499511,19.0
2017-10-10,83901.27857720945,84588.05763244629,83464.30434060656,84424.0767202247,18.0
2017-10-11,83996.71121751331,84393.43960571289,83679.11408996582,83884.17981665768,21.0
2017-10-12,84141.86743927002,84459.65605545044,83791.6074190978,84330.14514094964,14.0
2017-10-13,84129.81348436885,84676.23132306524,83508.40381423943,84657.36590194702,74.0
2017-10-14,84129.81348436885,84676.23132306524,83508.40381423943,84657.36590194702,0.0
2017-10-15,84129.81348436885,84676.23132306524,83508.40381423943,84657.36590194702,0.0
2017-10-16,84226.38317871094,84440.60936657712,83540.71626150515,84068.4297565734,173.0
2017-10-17,83780.02058251947,84233.30359780882,82997.27313232422,83003.17560577393,571.0
2017-10-18,83222.9426465882,83389.32613441162,83059.1077878112,83102.24894921761,163.0
2017-10-19,83674.53498646244,83796.49234060664,83454.3955520019,83700.1064035669,134.0
2017-10-20,83158.64188566897,83289.1577248536,82908.62371744867,82909.14024425298,304.0
2017-10-21,83158.64188566897,83289.1577248536,82908.62371744867,82909.14024425298,0.0
2017-10-22,83158.64188566897,83289.1577248536,82908.62371744867,82909.14024425298,0.0
2017-10-23,82897.55826788954,83367.27048779279,82625.88667297363,83183.50933711044,115.0
2017-10-24,82923.43985748291,83213.61727523804,82654.20805499889,82919.49348449707,111.0
2017-10-25,82644.45646861568,83162.46092724614,82232.37259304803,83002.39370921627,105.0
2017-10-26,82673.07206726074,82675.61766815186,81838.73268246464,82106.89052868634,39.0
2017-10-27,82232.91131181642,82661.80366134644,81854.65648941044,81945.09806442261,567.0
2017-10-28,82232.91131181642,82661.80366134644,81854.65648941044,81945.09806442261,0.0
2017-10-29,82232.91131181642,82661.80366134644,81854.65648941044,81945.09806442261,0.0
2017-10-30,82389.21524047852,82854.7198570557,82147.24374258425,82655.19458774664,222.0
2017-10-31,82549.45867468137,82670.555194458,81929.32826101687,82155.32028961182,235.0
2017-11-01,82273.29469231702,82534.37473720685,81883.53998446651,82396.16945614386,78.0
2017-11-02,82301.17146511842,82445.23384504393,82180.05440652464,82301.29791241698,70.0
2017-11-03,81612.10413971916,82021.33594597038,81472.6693717651,81689.88773345947,75.0
2017-11-04,81612.10413971916,82021.33594597038,81472.6693717651,81689.88773345947,0.0
2017-11-05,81612.10413971916,82021.33594597038,81472.6693717651,81689.88773345947,0.0
2017-11-06,82095.9214553833,82899.56726455688,81926.63690185547,82768.73436904047,128.0
2017-11-07,82469.65994096175,83209.05684423819,82045.60531207267,82269.42185377702,11.0
2017-11-08,83144.02625906374,83749.78398342896,82702.52933096327,83514.81824549567,15.0
2017-11-09,83065.96313379519,83770.75866015628,82975.74014758319,83448.93666600343,18.0
2017-11-10,83386.43097686768,83902.39852523804,82655.10442102049,82665.28773725592,10.0
2017-11-11,83386.43097686768,83902.39852523804,82655.10442102049,82665.28773725592,0.0
2017-11-12,83386.43097686768,83902.39852523804,82655.10442102049,82665.28773725592,0.0
2017-11-13,83229.2559152674,83714.24636959843,83190.1607131958,83229.2559152674,3.0
2017-11-14,83558.29490053467,84040.77234649658,83375.18475604244,83859.30994415283,4.0
2017-11-15,83820.60365388915,84102.87759875506,83124.8885374451,83500.20349502563,13.0
2017-11-16,83820.60365388915,84102.87759875506,83124.8885374451,83500.20349502563,0.0
2017-11-17,84010.04500460811,84600.19619783945,83327.2475513611,84499.11999774165,1.0
2017-11-18,84010.04500460811,84600.19619783945,83327.2475513611,84499.11999774165,0.0
2017-11-19,84010.04500460811,84600.19619783945,83327.2475513611,84499.11999774165,0.0
2017-11-20,82727.9098594971,83086.61309420783,82727.9098594971,82727.9098594971,1.0
2017-11-21,83303.52786727902,83459.8241754882,83021.68430880737,83303.52786727902,4.0
2017-11-22,83197.80867868662,83889.41447265632,82990.80571142584,83645.69237948488,4.0
2017-11-23,83197.80867868662,83889.41447265632,82990.80571142584,83645.69237948488,0.0
2017-11-24,83094.69253303483,83326.69158657826,83040.39613540657,83094.30968011357,0.0
2017-11-25,83094.69253303483,83326.69158657826,83040.39613540657,83094.30968011357,0.0
2017-11-26,83094.69253303483,83326.69158657826,83040.39613540657,83094.30968011357,0.0
2017-11-27,83508.32178259268,83851.17800585926,83249.56572119147,83508.32178259268,1.0
2017-11-28,83422.56579302251,83629.8509376403,83275.10046426393,83422.56579302251,275442.0
2017-11-29,83334.14881421626,83578.97720281966,82336.29113034066,82656.98699108884,47244.0
2017-11-30,82650.63158090692,83055.77470397949,81775.02380529791,82012.92346302234,3049.0
2017-12-01,82178.9429535009,83256.44520910643,81928.65883636475,82481.83238827623,823.0
2017-12-02,82178.9429535009,83256.44520910643,81928.65883636475,82481.83238827623,0.0
2017-12-03,82178.9429535009,83256.44520910643,81928.65883636475,82481.83238827623,0.0
2017-12-04,82087.7059173584,82474.33791720588,81661.24329089373,82203.82527204603,850.0
2017-12-05,82073.01133058593,82238.06997943111,80917.20153808594,81185.72754879389,1499.0
2017-12-06,81405.67554964963,81874.52947473153,81183.95650390629,81269.90034701675,373.0
2017-12-07,81437.537274912,81538.41295385733,80206.67774990853,80631.09730298817,358.0
2017-12-08,80437.69912920892,80667.30377157591,79902.94075775146,80368.18902686052,157.0
2017-12-09,80437.69912920892,80667.30377157591,79902.94075775146,80368.18902686052,0.0
2017-12-10,80437.69912920892,80667.30377157591,79902.94075775146,80368.18902686052,0.0
2017-12-11,80488.09424067382,80579.63941931166,79725.5753536988,80185.06642053835,146.0
2017-12-12,79871.45315710455,80338.46253808588,79562.59400939941,79697.47311019897,692.0
2017-12-13,80164.65036590584,80977.97882843018,79781.1312503051,80390.57537658699,349.0
2017-12-14,80586.52918795776,81062.53863754869,80225.50377774052,80644.41875799559,139.0
2017-12-15,80544.87668010872,81007.93177925795,80210.93211416621,80620.13755233772,578.0
2017-12-16,80544.87668010872,81007.93177925795,80210.93211416621,80620.13755233772,0.0
2017-12-17,80544.87668010872,81007.93177925795,80210.93211416621,80620.13755233772,0.0
2017-12-18,80487.6248698216,81664.66066137701,80364.796875,80872.05869245343,45.0
